Metin,Durum
evet anlatıldığı gibi,
Daha öncede almıştım bu cihazdan ense ve sakal tüketmek için on numara sıfıra yakın alıyor,
Ürün gayet başarılı sakal kesmede başlık sayısı biraz daha fazla olabilirdi.Hem 0 a yakın aliyor. hem de kirli sakal için 3 numara başlık ideal.,
Daha öncede aynısını almıştım çok güzel ve kaliteli bir ürün.,
Erkek kuaförüyüm ense ve sıfır sakal traşı için uygun bir ürün,
ürün gerçekten çok güzel,
Ürün beklediğimden güzel çıktı gayet kullanışlı tarklarda bir iki numara saha olsa daha iyidi ama her şey harika,
güzel makina tavsiye ederim,
tavsiye edebileceğim çok güzel bir makina,
ürün geldiğinde şarjı vardı. ilk lullanım öncesi 10 saat kadar şarjda kaldı. yaklaşık 30 dk kadar kesintisiz kullandım vebhala şarjı iyi seviyedeydi. 30 dk kullanım sürecinde ısınmadı. ben saç traşı oldum. herhangi bir takılma-çekme vs sorun yaşamadım (saçlarım seyrel ve ince telli. uzunluğu 3-4 mm kadardı, taraksız traş oldum) bu performansı devam ederse mükemmel bir ürün diyebilirim.,
Ürün sadece aldığım gün güzel bir şekilde kesti. sonrasında saatlerce uğraşıp sadece sakalımı toplayabildim. Allah kahretsin başka bı makine alacam ama bu sefer powertec mi ? ASLA,
denedim ürün çok güzel herkese tavsiye ederim,
ürün harika tam istediğim gibi ayrıca mağazaya da teşekkürler hızlı oldukları için,
Ürün hala elime geçmedi,
Bir kere kullandım memnun kaldım,
35 TL ye berber makinesi powertec almıştım. 300 liraya aldığım dünya markası yerine onu kullandım. powertec yine şaşırtmadı harika bir ürün. genelde sakal kesiyorum çok iyi kesiyor. hiç yoruma felan bakmayın daha alın gitsin.,
Ürün çalışıyor şimdilik,
tam istedigim gbi orjinal,
Ürün, kullanım açısından kolay. Yanında 1mm 2mm 3mm başlıkları ile geliyor. Sakal traşım ve şekil verme konularında bir sıkıntısını görmedim.,
hiç dusunmeden alın derim jilet gibi kesiyor,
Ürün anlatıldığı gibi Hızlı kargo,
ürünü beğendim ve tekrar sipariş verdim. paketleme daha korunakli olmali,kargo poşedi yeterli degil bence.,
baya iyi çok memnun kaldım,
Ürün anlatıldığı gibi bu fiyata bundan iyisini bulamazsın.. marka takıntısı olan yoksa bu ürün çok idaal... sakalları sıfıra yakın kesiyor...,
güzel ürün f/p canavarı, dayanıklı çıkar umarım, teşekkürler,
Aynı gün kargoya verildi 1 gün sonra sabah elime ulaştı paketleme güzel, şarj standı sorunsuz çalışıyor usb ile de şarj oluyor kesimi gayet başarılı tavsiye ederim.,
İlk önce tereddüt ettim ama iyiki almışım alalı 3 ay oldu 20 defa olmuştur sakal tıraşı oluyorum ,hiç şarja bağlamadan 20 ye yakın tıraş yaptı doldurunca nekadar gider Allah bilir. Bıçaklar çok kaliteli çekme koparma yapmıyor makina hızlı ve jiletin bir tık üstü kesiyor, Sessiz ve t bıçağı çok kullanışlı sakal ense için bire bir tavsiye ederim....,
Sakal için ideal, saç için kullanmıyorum. Philips makinalar para tuzağı.,
Ürün güzel beğendim,
Merhabalar ürün anlatıldığı gibi geldi.Eksiksiz ve gayet şık.Daha kullanmadim.Ancak almadan önce arastirmistim.Ona göre sipariş verdim.,
ürün fiyatina gore guzel bekledigimden guzel ??,
hızlı ve özenli kargo teşekkürler.,
urun gelmiyor 10 gundur bekliyoz magaza iletisim sifir siparis tamamlandi diyor urun gelmiyor dolandirildik,
urun cok guzel bekledigim gibi geldi cok memnun kaldim super bi urun.,
Ürün anlatıldığı gibi mağaza yorumları korkutmuştu fakat ürün 2 günde elime ulaştı herhangi bir problem yok,
Ürünler kaliteli teşekkürler,
Çok beğendim çocukların saçlarını rahatlıkla kesebiliyorum tam istediğim gibi,
Ürün şık ve kullanışlı,
urun cok guzel siddetle tavsiye ederim 2 adet aldim,
güzel ürün tavsiye ederim,
Makine gayet iyi memnun kaldım fakat şarj unitesi çalışmıyordu iade etmekle uğraşmak istemedim usb ile şarj olabiliyor ??,
ÜRÜN GAYET KULLANIŞLI UMARIM UZUN ÖMÜRLÜ OLUR TEŞEKKÜRLER,
bu makineden ikinci alışım gayet iyi bir makina. sakal için öneririm. magazadan da 4. makina alışım . olumsuz birşeyle karşılaşmadım,
hızlı satıcı problem yok,
Birçok traş makinesi kullandım. Gerçekten kullanışlı ve güzel bir ürün yapmışlar, çok beğendim. Ürünlere pek yorum yapmam ama bu ürünü kullandıktan sonra kendimi bir anlamda mecbur hissettim :,
Olay budur. Boş yere diğer markalara para vermeyin. Tıraş sadece 2 dk sürdü. Oldukça sessiz.,
Ürün kullanışlı ve kesimi güzel parasinin hakkini veriyor,
Makine oldukça kaliteli. Sakal için rahatlıkla kullanıyorum. Tavsiye ederim.,
hasarlı gelgi geri yolladım kullanmadık ,
Ürün 3-4 ay kadar dayanabildi sonrası hüsran, parasını çıkardı mı evet. Ama beklentiniz yüksek olmasın. Hem saç hem sakal traşı için kullanıldı. Ama belirli bir süre sonra kesim yaparken boğulmaya başladı ve kesememeye başladı.,
Ürün paketsiz şekilde geldi evime gelmedi kendim gittim aldım sanki kullanılmış gibiydi öyle geldi bana emin değilim ama ürün çalışıyor sorun yok,
Fiyat performans ürünü,
efsane bir ürün sakal ve ense çizim için ideal saç için farklı ürünlere bakın kirli sakal ve bir numara için,
Ürünü çok beğendim güzel kesiyor, bu kadar beklemiyordum. Gayet başarılı. Fiyatta uygun. Şuan için güzel. Gelecekte ne olur bilemem. Fiyata göre çok iyi.,
ürün güzel tavsiye ederin sıfır kesim için aldım gayet iyi,
Gayet guzel goruntulu ve kaliteli urun.,
philipsin tras makinesini kullanıyordum. Bu ürün şarj ve bıçak olarak philips'ten daha kaliteli. bosuna 3 kati fazla ödeyip marka almayin. cok iyi kesiyor sıfıra yakın,
103 liraya alincaj gzl kibar makina her ise yarar. Sac kesme harici her ise yarar sakal vs,
süper kesiyor harika bı makina,
Ürünü sorunsuz teslim aldım. Sipariş vermeden önce mağaza ile ilgili olumsuz yorumlar korkutmuştu ama sorunsuz bir alışveriş oldu benim için. Makinenin bıçakları çok güçlü. Çekme, koparma yok. Fiyatına göre çok güzel bir makine. Mağaza faturayı mailime atmıştı. Teşekkürler.,
İlk defa bir ürüne yorum yapıyorum ürün beklediğimden harika çıktı hiç düşünmeden alabilirsiniz,
2 yıldır kullanıyorum yedek olsun diye aldım isyerime,
ÜRÜN ÇOK KULLANIŞLI VE KALİTELİ TEŞEKKÜRLER.,
Daha oncede powertec kullanan biri olarak soylemeliyim ki, bu model bi efsane beylerr,
??????????????????????,
ürün çok şık fakat içi boş bir ürün. biraz daha bütçe zorlayıp iyi bir makine almanızı tavsiye ederim. sıfırı çok kötü,
Ürün gelmedi ki beğenelim,
emsallerine göre fiyatı düşük olunca bi çekinceyle aldım ama gerçekten kaliteli ve kullanışlı. 5 yıldızı sonuna kdar hakediyor. mağaza hızı da cok iyi,
ürünü henüz kullanmadım deneyince göreceğiz,
iyi ürün teşekkürler parasına göre iyi ürün umarım çabuk bozulmaz,
