Item,Group,ParticipantNo,EventTime,WordOrder,Set,Structure,Correct,Plausible
69,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235778450,nonreversed,symmetrical,active,incorrect,yes
33,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235780230,nonreversed,irreversible,active,correct,yes
30,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235781956,reversed,irreversible,active,correct,no
57,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235783439,nonreversed,symmetrical,active,incorrect,yes
39,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235785703,nonreversed,irreversible,passive,incorrect,yes
19,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235787458,nonreversed,biased,passive,correct,yes
14,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235788763,reversed,biased,active,correct,no
61,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235791803,nonreversed,symmetrical,active,incorrect,yes
46,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235793462,reversed,irreversible,active,correct,no
21,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235794974,nonreversed,biased,active,correct,yes
9,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235796634,nonreversed,biased,active,correct,yes
31,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235800132,nonreversed,irreversible,passive,correct,yes
66,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235801685,reversed,symmetrical,active,correct,yes
5,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235805209,nonreversed,biased,active,correct,yes
32,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235806980,reversed,irreversible,passive,correct,no
18,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235808674,reversed,biased,active,correct,no
56,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235811152,reversed,symmetrical,passive,incorrect,yes
41,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235812895,nonreversed,irreversible,active,correct,yes
27,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235815303,nonreversed,irreversible,passive,correct,yes
68,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235817007,reversed,symmetrical,passive,incorrect,yes
8,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235819621,reversed,biased,passive,correct,no
59,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235830158,nonreversed,symmetrical,passive,correct,yes
71,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235833269,nonreversed,symmetrical,passive,incorrect,yes
58,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235835997,reversed,symmetrical,active,incorrect,yes
40,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235837432,reversed,irreversible,passive,correct,no
10,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235839049,reversed,biased,active,correct,no
17,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235840491,nonreversed,biased,active,correct,yes
1,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235841716,nonreversed,biased,active,correct,yes
63,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235844526,nonreversed,symmetrical,passive,correct,yes
12,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235847199,reversed,biased,passive,correct,no
49,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235849158,nonreversed,symmetrical,active,incorrect,yes
38,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235851155,reversed,irreversible,active,correct,no
26,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235853254,reversed,irreversible,active,correct,no
11,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235857396,nonreversed,biased,passive,correct,yes
16,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235859520,reversed,biased,passive,correct,no
24,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235862852,reversed,biased,passive,correct,no
65,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235864669,nonreversed,symmetrical,active,correct,yes
3,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235866446,nonreversed,biased,passive,correct,yes
47,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235868344,nonreversed,irreversible,passive,correct,yes
48,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235870306,reversed,irreversible,passive,incorrect,no
35,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235873378,nonreversed,irreversible,passive,correct,yes
54,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235877291,reversed,symmetrical,active,correct,yes
52,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235879445,reversed,symmetrical,passive,correct,yes
36,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235881190,reversed,irreversible,passive,correct,no
22,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235882859,reversed,biased,active,correct,no
51,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235884947,nonreversed,symmetrical,passive,correct,yes
67,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235888015,nonreversed,symmetrical,passive,correct,yes
7,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235891178,nonreversed,biased,passive,correct,yes
2,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235892797,reversed,biased,active,correct,no
72,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235896217,reversed,symmetrical,passive,correct,yes
53,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235897992,nonreversed,symmetrical,active,correct,yes
6,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235899676,reversed,biased,active,correct,no
25,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235901558,nonreversed,irreversible,active,correct,yes
44,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235903092,reversed,irreversible,passive,correct,no
55,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235904970,nonreversed,symmetrical,passive,correct,yes
28,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235906437,reversed,irreversible,passive,correct,no
43,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235907885,nonreversed,irreversible,passive,correct,yes
20,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235910256,reversed,biased,passive,correct,no
23,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235911787,nonreversed,biased,passive,correct,yes
70,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235913896,reversed,symmetrical,active,correct,yes
50,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235915292,reversed,symmetrical,active,correct,yes
29,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235916884,nonreversed,irreversible,active,correct,yes
4,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235918826,reversed,biased,passive,correct,no
13,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235920604,nonreversed,biased,active,correct,yes
34,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235922689,reversed,irreversible,active,correct,no
45,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235924777,nonreversed,irreversible,active,correct,yes
62,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235925945,reversed,symmetrical,active,correct,yes
60,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235927922,reversed,symmetrical,passive,incorrect,yes
15,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235930444,nonreversed,biased,passive,correct,yes
37,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235932208,nonreversed,irreversible,active,correct,yes
42,1,1e0a16cc8c7cfd9517aee0e14e2f8b4d,1655235934183,reversed,irreversible,active,correct,no
