"","Results.reception.time","MD5.hash.of.participant.s.IP.address","Controller.name","Order.number.of.item","Inner.element.number","Label","Latin.Square.Group","PennElementType","PennElementName","Parameter","Value","EventTime","Item","Group","License.Type","nominalizer","Comments"
"1",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",20,0,"Experiment","NULL","Scale","q","Choice","5",1673698291166,"4",1,"licensed","mA","NULL"
"2",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",25,0,"Experiment","NULL","Scale","q","Choice","2",1673698307767,"9",1,"unlicensed","DIk","NULL"
"3",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",19,0,"Experiment","NULL","Scale","q","Choice","1",1673698325624,"3",1,"unlicensed","DIk","NULL"
"4",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",28,0,"Experiment","NULL","Scale","q","Choice","1",1673698331535,"12",1,"unlicensed","mA","NULL"
"5",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",22,0,"Experiment","NULL","Scale","q","Choice","1",1673698347759,"6",1,"unlicensed","mA","NULL"
"6",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",23,0,"Experiment","NULL","Scale","q","Choice","5",1673698350679,"7",1,"licensed","DIk","NULL"
"7",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",21,0,"Experiment","NULL","Scale","q","Choice","2",1673698368211,"5",1,"long-distance","mA","NULL"
"8",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",27,0,"Experiment","NULL","Scale","q","Choice","5",1673698372098,"11",1,"long-distance","mA","NULL"
"9",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",31,0,"Experiment","NULL","Scale","q","Choice","1",1673698387951,"15",1,"unlicensed","DIk","NULL"
"10",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",18,0,"Experiment","NULL","Scale","q","Choice","5",1673698394240,"2",1,"long-distance","DIk","NULL"
"11",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",34,0,"Experiment","NULL","Scale","q","Choice","1",1673698416508,"18",1,"unlicensed","mA","NULL"
"12",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",33,0,"Experiment","NULL","Scale","q","Choice","1",1673698422613,"17",1,"long-distance","mA","NULL"
"13",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",24,0,"Experiment","NULL","Scale","q","Choice","5",1673698437572,"8",1,"long-distance","DIk","NULL"
"14",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",32,0,"Experiment","NULL","Scale","q","Choice","5",1673698443534,"16",1,"licensed","mA","NULL"
"15",1673698477,"1f2df2dd73bc6789fd5c0075bfa03219","PennController",26,0,"Experiment","NULL","Scale","q","Choice","5",1673698451725,"10",1,"licensed","mA","NULL"
